InterVA4;InterVA variable;Question;Question;Threshold;Note
2180;lying_br;Was (s)he breathless while lying flat?;Was (s)he breathless while lying flat?;id3B180 == 'yes' && id3B240 == 'yes';
2190;chest_in;Did you see the lower chest wall/ribs being pulled in as the child breathed?;Did you see the lower chest wall/ribs being pulled in as the child breathed?;id3B250 == 'yes';
2200;wheeze;Did (s)he have noisy breathing (grunting or wheezing)?;During the illness that led to death did his/her breathing sound like any of the following:;(id3B180 == 'yes' && id3B260 == 'stridor') || (id3B180 == 'yes' && id3B260 == 'grunting') || (id3B180 == 'yes' && id3B260 == 'wheezing');
2210;ch_pain;Did (s)he have severe chest pain?;Did (s)he have severe chest pain?;id3B270 == 'yes';
2220;yellow;Did (s)he have yellow discoloration of the eyes?;Did (s)he have yellow discoloration of the eyes?;id3B750 == 'yes';
2230;diarr;Did (s)he have diarrhoea?;Did (s)he have diarrhoea?;id3B280 == 'yes';
2240;ac_diarr;Did (s)he have diarrhoea for less than 2 weeks?;For how many days did (s)he have diarrhoea?;id3B280 == 'yes' && id3B290 < 14;
2250;pe_diarr;Did (s)he have diarrhoea for 2 to 4 weeks?;For how many days did (s)he have diarrhoea?;id3B280 == 'yes' && id3B290 >= 14 && id3B290 < 4*7;Select this if the diarrhoea lasted for 2 to 4 weeks, not necessarily every day
2260;ch_diarr;Did (s)he have diarrhoea for 4 weeks or more?;For how many days did (s)he have diarrhoea?;id3B280 == 'yes' && id3B290 >= 4*7;
2270;bl_diarr;At any time during the final illness was there blood in the stools?;At any time during the final illness was there blood in the stools?;id3B280 == 'yes' && id3B300 == 'yes';
2280;vomiting;Did (s)he vomit?;Did (s)he vomit?;id3B310 == 'yes';
2290;bl_vomit;"Did (s)he vomit ""coffee grounds"" or bright red/blood?";Did (s)he vomit blood?;id3B310 == 'yes' && (id3B320 == 'yes' || id3B325 == 'yes');
2300;abdom;Did (s)he have any abdominal problem?;Did (s)he have any abdominal problem?;id3B330 == 'yes';
2310;abd_pain;Did (s)he have severe abdominal pain?;Did (s)he have severe abdominal pain?;id3B330 == 'yes' && id3B340 == 'yes';
2320;ac_abdp;Did the abdominal pain last for less than 2 weeks?;For how many days before death did (s)he have severe abdominal pain?;id3B340 == 'yes' && id3B350 >= 0 && id3B350 < 14;
2330;ch_abdp;Did the abdominal pain last for 2 weeks or more?;For how many days before death did (s)he have severe abdominal pain?;id3B340== 'yes' && id3B350 >= 14;
2340;swe_abd;Did (s)he have a more than usually protruding abdomen?;Did (s)he have a more than usually protruding abdomen?;id3B360 == 'yes';
2350;ac_swab;Did (s)he have a more than usually protruding abdomen for less than 2 weeks?;For how many days did (s)he have a more than usually protruding abdomen?;id3B370 >= 0 && id3B370 < 14;
2360;ch_swab;Did (s)he have a more than usually protruding abdomen for 2 weeks or more?;For how many days did (s)he have a more than usually protruding abdomen?;id3B370 >= 14;
2370;abd_mass;Did (s)he have any lump inside the abdomen?;Did (s)he have any mass in the abdomen?;id3B330 == 'yes' && id3B380 == 'yes';
2380;ac_abdm;Did (s)he have a lump inside the abdomen for less than 2 weeks?;For how many days before death did (s)he have a mass in the abdomen?;id3B380 == 'yes' && id3B390 >= 0 && id3B390 < 14;
2390;ch_abdm;Did (s)he have a lump inside the abdomen for 2 weeks or more?;For how many days before death did (s)he have a mass in the abdomen?;id3B380 == 'yes' && id3B390 >= 14;
2400;headache;Did (s)he have a severe headache?;Did (s)he have a severe headache?;id3B400 == 'yes';
2410;skin;Did (s)he have any skin problems?;Did (s)he have any skin problems?;id3B530 == 'yes';
2420;skin_les;Did (s)he have any ulcers, abscess or sores anywhere except on the feet?;Did (s)he have any ulcers, abscess or sores anywhere except on the feet?;id3B530 == 'yes' && id3B540 == 'yes';
2430;sk_feet;Did (s)he have any , ulcers, abscess or sores on the feet that were not also on other parts of the body?;Did (s)he have any ulcers, abscess or sores on the feet that were not also on other parts of the body?;id3B530 == 'yes' && id3B550 == 'yes';
2440;rash;During the illness that led to death, did (s)he have any skin rash?;During the illness that led to death, did (s)he have any skin rash?;id3B530 == 'yes' && id3B560 == 'yes';
2450;ac_rash;Did (s)he have the skin rash for less than 1 week?;For how many days did (s)he have the skin rash?;id3B560 == 'yes' && id3B570 >= 0 && id3B570 < 7;
2460;ch_rash;Did (s)he have the skin rash for 1 week or more?;For how many days did (s)he have the skin rash?;id3B560 == 'yes' && id3B570 >= 7;
2470;measrash;Did (s)he have measles rash?;Did (s)he have measles rash (use local term)?;id3B530 == 'yes' && id3B580 == 'yes';
2480;herpes;Did (s)he ever have shingles or herpes zoster?;Did (s)he ever have shingles or herpes zoster?;id3B530 == 'yes' && id3B590 == 'yes';
2490;stiff_neck;Did (s)he have a stiff or painful neck?;Did (s)he have a stiff neck during illness that led to death?;id3B405 == 'yes' || id3B409 == 'yes';
2500;ac_stnk;Did (s)he have a stiff or painful neck for less than 1 week?;For how many days before death did (s)he have stiff neck?;(id3B405 == 'yes' || id3B409 == 'yes') && ((id3B407 >= 0 && id3B407 < 7) || (id3B410 >= 0 && id3B410 < 7));
2510;ch_stnk;Did (s)he have a stiff or painful neck for 1 week or more?;For how many days before death did (s)he have stiff neck?;(id3B405 == 'yes' || id3B409 == 'yes') && (id3B407 >= 7 || id3B410 >= 7);
2520;coma;Was (s)he unconscious for more than 24 hours before death?;Was (s)he unconscious for more than 24 hours before death?;id3B440 == 'yes';
2530;co_ons;Did the unconsciousness start suddenly (at least within a single day)?;Did the unconsciousness start suddenly, quickly (at least within a single day)?;id3B440 == 'yes' && id3B450 == 'yes';
2540;convul;Did (s)he have convulsions?;Did (s)he have convulsions?;id3B460 == 'yes';
2550;ac_conv;Did the convulsions last for less than 10 minutes;For how many minutes did the convulsions last?;id3B460 == 'yes' && id3B470 >= 0 && id3B470 < 10;
2560;ch_conv;Did the convulsions last for 10 minutes or more?;For how many minutes did the convulsions last?;id3B460 == 'yes' && id3B470 >= 10;
2570;unc_con;Did (s)he become unconscious immediately after the convulsion?;Did (s)he become unconscious immediately after the convulsion?;id3B460 == 'yes' && id3B480 == 'yes';
2580;urine;Did (s)he have any urine problems?;Did (s)he have any urine problems?;id3B490 == 'yes';
2590;uri_ret;Did (s)he pass no urine at all?;Did (s)he pass no urine at all?;id3B490 == 'yes' && id3B500 == 'yes';
2600;exc_urine;Did (s)he go to urinate more often than usual?;Did (s)he go to urinate more often than usual?;id3B490 == 'yes' && id3B510 == 'yes';
2610;uri_haem;During the final illness did (s)he ever pass blood in the urine?;During the final illness did (s)he ever pass blood in the urine?;id3B490 == 'yes' && id3B520 == 'yes';
2620;wt_loss;Did (s)he have noticeable weight loss?;Did (s)he have noticeable weight loss?;id3B610 == 'yes';
2630;wasting;Was (s)he severely thin or wasted?;Was (s)he severely thin or wasted?;id3B610 == 'yes' && id3B620 == 'yes';
2640;or_cand;Did (s)he have mouth sores or white patches in the mouth or on the tongue?;During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?;id3B630 == 'yes';
2650;rigidity;Did (s)he have stiffness of the whole body or was unable to open the mouth?;Did (s)he have stiffness of the whole body or was unable to open the mouth?;id3B640 == 'yes';
2660;swell;Did (s)he have any lumps?;Did (s)he have any lumps?;id3B670 == 'yes';
2670;swe_oral;Did (s)he have any lumps or lesions in the mouth?;Did (s)he have any lumps or lesions in the mouth?;id3B670 == 'yes' && id3B680 == 'yes';
2680;swe_neck;Did (s)he have any lumps on the neck?;Did (s)he have any lumps on the neck?;id3B670 == 'yes' && id3B690 == 'yes';
2690;swe_armp;Did (s)he have any lumps on the armpit?;Did (s)he have any lumps on the armpit?;id3B670 == 'yes' && id3B700 == 'yes';
2700;swe_breast;Did she have an ulcer or swelling in the breast?;Did she have any swelling or lump in the breast?;id3B670 == 'yes' && id3B720 == 'yes';
2710;swe_gen;Did (s)he have any lumps on the groin?;Did (s)he have any lumps on the groin?;id3B670 == 'yes' && id3B710 == 'yes';
2720;swe_oth;Did (s)he have swelling (puffiness) of the face?;Did (s)he have puffiness of the face?;id3B650 == 'yes';
2730;swe_legs;Did (s)he have both feet swollen?;Did (s)he have both feet swollen?;id3B660 == 'yes';
2740;anaemia;Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?;Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?;id3B770 == 'yes';
2750;exc_drink;Did (s)he drink a lot more water than usual?;Did (s)he drink a lot more water than usual?;id3B790 == 'yes';
2760;hair;Did her/his hair colour change to reddish or yellowish?;Did her/his hair change in color to a reddish or yellowish color?;id3B760 == 'yes';
2770;paral_one;Did (s)he have paralysis of one side of the body?;Did s(he have paralysis of only one side of the body?;id3B730 == 'yes';
2780;eye_sunk;Did (s)he have sunken eyes?;Did (s)he have sunken eyes?;id3B780 == 'yes';
2790;bl_orif;Did (s)he bleed from the nose, mouth or anus?;Did (s)he bleed from the nose, mouth or anus?;id3B600 == 'yes';
2800;vb_bet;Did she have excessive vaginal bleeding in between menstrual periods?;Did she have excessive vaginal bleeding in between menstrual periods?;id3B800 == 'yes';
2810;vb_men;Did her vaginal bleeding stopped naturally during menopause?;Did her menstrual period stop naturally because of menopause?;id3B810 == 'yes';
2820;vb_after;Did she had vaginal bleeding after menopause?;Did she have vaginal bleeding after cessation of menstruation?;id3B820 == 'yes';
2830;diff_sw;Did (s)he have difficulty or pain while swallowing liquids?;Was the difficulty with swallowing with solids, liquids, or both?;id3B740 == 'yes';
3000;not_preg;Was she neither pregnant, nor delivered, within 6 weeks of her death?;Was she pregnant at the time of death?;(id3C110 == 'no' && id3C120 == 'yes') || id3C135 == 'yes';
3010;pregnant;Was she pregnant at the time of death?;Was she pregnant at the time of death?;id3C110 == 'yes';
3020;del_6wks;Did she die within 6 weeks of giving birth?;Did she die within 6 weeks of delivery, abortion or miscarriage?;id3C120 == 'yes';
3030;pend_6w;Did she die 6 weeks within a pregnancy that lasted less than 6 months?;Did she die within 6 weeks of delivery, abortion or miscarriage?;id3C120 == 'yes' && id3C125 >= 0 && id3C125 < 6;
3040;first_p;Was this the woman's first pregnancy?;How many births, including stillbirths, did she/the mother have before this baby?;id3C230 == 0;
3050;more4;Did she have four or more births, including stillbirths, before this pregnancy?;How many births, including stillbirths, did she/the mother have before this baby?;id3C230 >= 4;
3060;cs_prev;Did she have any previous Caesarean section?;Had she had any previous Caesarean section?;id3C240 == 'yes';
3070;multip;Did she die during or after a multiple pregnancy?;Did she die during or after a multiple pregnancy?;id3C215 == 'yes';WHO ID changed
3080;lab_24;Was she in labour for unusually long (more than 24 hours)?;For how many hours was she in labour?;id3C370 >= 24;
3090;died_lab;Did she die during labour, but undelivered?;Did she die during labour, and before delivery?;id3C210 == 'yes';
3100;death_24;Did she die within 24 hours after delivery;Did she die within 24 hours after delivery?;id3C200 == 'yes';
3110;baby_al;Did she give birth to a live, healthy baby within 6 weeks of death?;Did she give birth to a live baby (within 6 weeks of her death)?;id3C213 == 'yes';WHO ID changed
3120;breast_fd;Was she breastfeeding at death?;Was she breastfeeding the child in the days before death?;id3C220 == 'yes';
3130;del_fac;Did she give birth in a health facility?;Where did she give birth?;id3C400 == 'hospital' || id3C400 == 'other_health_facility';
3140;del_home;Did she give birth at home?;Where did she give birth?;id3C400 == 'home';
3150;del_else;Did she give birth elsewhere, e.g. on the way to a facility?;Where did she give birth?;id3C400 == 'on_route_to_hospital_or_facility' || id3C400 == 'other';
3160;prof_ass;Did she receive professional assistance during the delivery?;Did she receive professional assistance during the delivery?;id3C430 == 'yes';
3170;del_norm;Did she have a normal vaginal delivery?;Was the delivery normal vaginal, without forceps or vacuum?;id3C450 == 'yes';
3180;del_ass;Did she have an assisted delivery, with forceps/vacuum?;Was the delivery vaginal, with forceps or vacuum?;id3C460 == 'yes';
3190;del_cs;Did she deliver by Caesarean section?;Was the delivery a Caesarean section?;id3C470 == 'yes';
3200;baby_pos;Did she deliver or try to deliver an abnormally positioned baby?;Did she deliver or try to deliver an abnormally positioned baby?;id3C365 == 'yes';
3205;mon_early;Was the baby born more than one month early?;Was the baby born more than one month early?;id3C480 == 'yes';
3210;hyster;Did she have an operation to remove her uterus shortly before death?;Did she have an operation to remove her uterus shortly before death?;id3C480 == 'yes';
3220;bpr_preg;During pregnancy, did she suffer from high blood pressure?;During pregnancy, did she suffer from high blood pressure?;id3C260 == 'yes';
3230;fit_preg;During the last 3 months of pregnancy, did she suffer from convulsions?;During the last 3 months of pregnancy, did she suffer from convulsions?;id3C280 == 'yes';
3240;vis_bl;During the last 3 months of pregnancy did she suffer from blurred vision?;During the last 3 months of pregnancy did she suffer from blurred vision?;id3C290 == 'yes';
3250;bleed;Was there excessive vaginal bleeding during pregnancy or after delivery?;Did she have excessive bleeding during pregnancy before labour started?;id3C310 == 'yes';
3260;e_bleed;Was there vaginal bleeding during the first 6 months of pregnancy?;Was there vaginal bleeding during the first 6 months of pregnancy?;id3C320 == 'yes';
3270;s_bleed;Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?;Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?;id3C330 == 'yes';
3280;d_bleed;Was there excessive vaginal bleeding during labour?;Did she have excessive bleeding during labour or delivery?;id3C340 == 'yes';
3290;p_bleed;Was there excessive vaginal bleeding after delivering the baby?;Did she have excessive bleeding after delivery or abortion?;id3C350 == 'yes';
3300;placent_r;Was the placenta not completely delivered?;Was the placenta completely delivered?;id3C360 == 'yes';
3310;disch_sm;Did she have foul smelling vaginal discharge during pregnancy or after delivery?;Did she have foul smelling vaginal discharge during pregnancy or after delivery?;id3C270 == 'yes';
3330;term_att;Did she attempt to terminate the pregnancy?;Did she attempt to terminate the pregnancy?;id3C380 == 'yes';
3340;abort;Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?;Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?;id3C390 == 'yes';
4000;born_early;Had the pregnancy lasted less than 34 weeks when the baby was born?;How many months long was the pregnancy before the child was born?;id3D210 >= 0 && id3D210 < 9;Not accurate since WHO asks for month and InterVA wants Weeks
4010;born_3437;Had the pregnancy lasted between 34 and 37 weeks when the baby was born?;How many months long was the pregnancy before the child was born?;id3D210 == 9;Not accurate since WHO asks for month and InterVA wants Weeks
4020;born_38;Had the pregnancy lasted more than 37 weeks when the baby was born?;How many months long was the pregnancy before the child was born?;id3D210 > 9;Not accurate since WHO asks for month and InterVA wants Weeks
4030;ab_size;Was the baby of abnormal size?;At birth, was the baby of usual size?;id3D180 == 'no';
4040;born_small;Was the baby smaller than normal, weighing under 2.5 kg?;At birth, was the baby smaller than usual, (weighing under 2.5 kg)?;id3D190 == 'yes';
4060;born_big;Was the baby larger than normal, weighing over 4.5 kg?;At birth, was the baby larger than usual, (weighing over 4.5 kg)?;id3D200 == 'yes';
4070;twin;Was the child part of a multiple birth?;Was the child part of a multiple  birth?;id3D100 == 'yes';
4080;comdel;Was the child born in a complicated delivery?;;1==2;Mapping uncertain
4090;cord;Was the umbilical cord wrapped several times (more than once) around the neck of the child at birth?;Was the umbilical cord wrapped more than once around the neck of the child at birth?;id3D278 == 'yes';WHO ID changed
4100;waters;Was the baby born 24 hours or more after the water broke?;Was the baby born 24 hours or more after the water broke?;id3D253 == 'yes';WHO ID changed
4110;move_lb;Did the baby stop moving in the womb before labour started?;Did the baby stop moving in the womb before labour started?;id3D251 == 'yes';WHO ID changed
4120;cyanosis;Was the baby blue in colour at birth?;Was the baby blue in colour at birth?;id3D280 == 'yes';
4130;baby_br;Did the baby breathe after birth, even a little?;Did the baby breathe immediately after birth, even a little?;id3D300 == 'yes';
4140;born_nobr;Was the baby given assistance to breathe at birth?;Was the baby given assistance to breathe at birth?;id3D310 == 'yes';
4150;cried;Did the baby cry after birth, even if only a little bit?;Did the baby cry immediately after birth, even if only a little bit?;id3D290 == 'yes';
4160;no_life;If the baby did not cry or breathe, was it born dead?;If the baby didn't show any sign of life, was it born dead?;id3D320 == 'yes';
4170;mushy;Was the baby born macerated, that is, showed signs of decay?;Was the dead baby macerated, that is, showed signs of decay?;id3D330 == 'yes';
4180;fed_d1;Was the baby able to suckle or bottle?feed within first 24 hours after birth?;Was the baby able to suckle or bottle-feed within the first 24 hours after birth?;id3D340 == 'yes';
4190;st_suck;Did the baby stop suckling of bottle feeding 3 days after birth?;Did the baby stop suckling?;id3D345 == 'yes' && id3D350 >= 3;
4200;ab_posit;Did the baby's bottom, feet, arm or hand come into the vagina before its head?;Did the baby's bottom, feet, arm or hand come out of the vagina before its head?;id3D277 == 'yes';WHO ID changed
4210;conv_d1;Did the baby have convulsions starting within the first day of life?;Did the baby have convulsions starting within the first 24 hours of life?;id3D360 == 'yes';
4220;conv_d2;Did the baby have convulsions starting on the second day or later after birth?;Did the baby have convulsions starting more than 24 hours after birth?;id3D370 == 'yes';
4230;arch_b;Did the baby's body become stiff, with the back arched backwards?;Did the baby's body become stiff, with the back arched backwards?;id3D380 == 'yes';
4240;font_hi;Did the child have a bulging or raised fontanelle?;During the illness that led to death, did the baby have a bulging or raised fontanelle?;id3D390 == 'yes';
4250;font_lo;Did the child have a sunken fontanelle?;During the illness that led to death, did the baby have a sunken fontanelle?;id3D400 == 'yes';
4260;unw_d1;Did the baby become unresponsive or unconscious soon after birth (within less than 24 hours)?;Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?;id3D410 == 'yes';
4270;unw_d2;Did the baby become unresponsive or unconscious more than 1 day after birth?;Did the baby become unresponsive or unconscious more than 24 hours after birth?;id3D420 == 'yes';
4280;cold;Did the baby become cold to the touch before it died?;During the illness that led to death, did the baby become cold to touch?;id3D430 == 'yes';
4290;umbinf;Did the baby have redness or discharge from the umbilical cord stump?;Did the baby have redness or discharge from the umbilical cord stump?;id3D440 == 'yes';
4300;b_yellow;Did the baby have yellow palms or soles?;During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?;id3D450 == 'yes';
4310;devel;Was the baby/the child not growing normally?;Before the illness that led to death, was the baby/the child growing normally?;id3D600 == 'yes';WHO ID changed
4320;born_malf;Did the baby/the child have any malformation?;Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?;id3D230 == 'yes';
4330;mlf_bk;Did the baby/the child have a swelling/defect on the back?;Did the baby/ child have a swelling or defect on the back?;id3D240 == 'yes';
4340;mlf_lh;Did the baby/the child have a very large head?;Did the baby/ child have a very large head?;id3D241 == 'yes';WHO ID changed
4350;mlf_sh;Did the baby/the child have a very small head?;Did the baby/ child have a very small head?;id3D242 == 'yes';WHO ID changed
4360;mttv;Did the mother receive tetanus toxoid (TT) vaccine?;Did the mother receive tetanus toxoid (TT) vaccine?;id3D265 == 'yes';WHO ID changed
